עָשִׂיתִי,zrobiłem
הָלַכְתִּי,poszedłem
בָּאתִי,przyszedłem
רָאִיתִי,widziałem
שָׁמַעְתִּי,słyszałem
דִּבַּרְתִּי,mówiłem
אָכַלְתִּי,zjadłem
שָׁתִיתִי,wypiłem
עָבַדְתִּי,pracowałem
לָמַדְתִּי,uczyłem się
קָנִיתִי,kupiłem
מָכַרְתִּי,sprzedałem
פָּתַחְתִּי,otworzyłem
סָגַרְתִּי,zamknąłem
הִתְחַלְתִּי,zacząłem
סִיַּמְתִּי,skończyłem
נָסַעְתִּי,podróżowałem
חָזַרְתִּי,wróciłem
נִשְׁאַרְתִּי,zostałem
עָזַרְתִּי,pomogłem
