عَمِلت|עָשִׂיתִי
رُحت|הָלַכְתִּי
جِيت|בָּאתִי
شُفت|רָאִיתִי
سِمِعت|שָׁמַעְתִּי
اِتْكَلِّمت|דִּבַּרְתִּי
أَكَلت|אָכַלְתִּי
شِرِبت|שָׁתִיתִי
اِشْتَغَلت|עָבַדְתִּי
ذاكَرت|לָמַדְתִּי
اِشْتَرِيت|קָנִיתִי
بِعت|מָכַרְתִּי
فَتَحت|פָּתַחְתִּי
قَفَلت|סָגַרְתִּי
بَدَأت|הִתְחַלְתִּי
خَلَّصت|סִיַּמְתִּי
اِتْمَشِّيت|נָסַעְתִּי
رِجِعت|חָזַרְתִּי
فَضِلت|נִשְׁאַרְתִּי
ساعَدت|עָזַרְתִּי
