עָשִׂיתִי|I did
הָלַכְתִּי|I went
בָּאתִי|I came
רָאִיתִי|I saw
שָׁמַעְתִּי|I heard
דִּבַּרְתִּי|I spoke
אָכַלְתִּי|I ate
שָׁתִיתִי|I drank
עָבַדְתִּי|I worked
לָמַדְתִּי|I studied
קָנִיתִי|I bought
מָכַרְתִּי|I sold
פָּתַחְתִּי|I opened
סָגַרְתִּי|I closed
הִתְחַלְתִּי|I started
סִיַּמְתִּי|I finished
נָסַעְתִּי|I traveled
חָזַרְתִּי|I came back
נִשְׁאַרְתִּי|I stayed
עָזַרְתִּי|I helped
